"КодЗаказа";"ДатаИсполнения";"стоимость";"СтранаПолучателя";"Марка";"Категория";"странаПоставщика";"КодСотрудника"
10949;17.3.1998 0:00:00;9300,00;"Канада";"Guarana Fantastica";"Напитки";"Бразилия";2
11020;16.4.1998 0:00:00;6323,99;"Германия";"Guarana Fantastica";"Напитки";"Бразилия";2
11077;;310,00;"США";"Guarana Fantastica";"Напитки";"Бразилия";1
10259;25.7.1996 0:00:00;800,00;"Мексика";"Laughing Lumberjack Lager";"Напитки";"США";4
10261;30.7.1996 0:00:00;1600,00;"Бразилия";"Laughing Lumberjack Lager";"Напитки";"США";4
10263;31.7.1996 0:00:00;28350,00;"Австрия";"Laughing Lumberjack Lager";"Напитки";"США";9
10333;25.10.1996 0:00:00;719,99;"Финляндия";"Laughing Lumberjack Lager";"Напитки";"США";5
10368;2.12.1996 0:00:00;359,99;"Австрия";"Laughing Lumberjack Lager";"Напитки";"США";2
10397;2.1.1997 0:00:00;679,99;"Португалия";"Laughing Lumberjack Lager";"Напитки";"США";5
10406;13.1.1997 0:00:00;2159,99;"Бразилия";"Laughing Lumberjack Lager";"Напитки";"США";7
10409;14.1.1997 0:00:00;960,00;"Аргентина";"Laughing Lumberjack Lager";"Напитки";"США";3
10430;3.2.1997 0:00:00;4000,00;"Австрия";"Laughing Lumberjack Lager";"Напитки";"США";4
10456;28.2.1997 0:00:00;2719,99;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";8
10461;5.3.1997 0:00:00;2400,00;"Венесуэлла";"Laughing Lumberjack Lager";"Напитки";"США";1
10477;25.3.1997 0:00:00;1260,00;"Португалия";"Laughing Lumberjack Lager";"Напитки";"США";5
10484;1.4.1997 0:00:00;1120,00;"Великобритания";"Laughing Lumberjack Lager";"Напитки";"США";3
10504;18.4.1997 0:00:00;1200,00;"США";"Laughing Lumberjack Lager";"Напитки";"США";4
10513;28.4.1997 0:00:00;3199,99;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";7
10539;23.5.1997 0:00:00;1500,00;"Великобритания";"Laughing Lumberjack Lager";"Напитки";"США";6
10550;6.6.1997 0:00:00;539,99;"Испания";"Laughing Lumberjack Lager";"Напитки";"США";7
10609;30.7.1997 0:00:00;600,00;"Франция";"Laughing Lumberjack Lager";"Напитки";"США";7
10614;1.8.1997 0:00:00;800,00;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";8
10619;7.8.1997 0:00:00;4200,00;"Канада";"Laughing Lumberjack Lager";"Напитки";"США";3
10623;12.8.1997 0:00:00;2249,99;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";8
10642;5.9.1997 0:00:00;2399,99;"Дания";"Laughing Lumberjack Lager";"Напитки";"США";7
10658;8.9.1997 0:00:00;6000,00;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";4
10681;30.9.1997 0:00:00;1079,99;"США";"Laughing Lumberjack Lager";"Напитки";"США";3
10716;27.10.1997 0:00:00;500,00;"Аргентина";"Laughing Lumberjack Lager";"Напитки";"США";4
10717;29.10.1997 0:00:00;3039,99;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";1
10729;14.11.1997 0:00:00;3000,00;"Венесуэлла";"Laughing Lumberjack Lager";"Напитки";"США";8
10731;14.11.1997 0:00:00;3799,99;"Швейцария";"Laughing Lumberjack Lager";"Напитки";"США";7
10763;8.12.1997 0:00:00;4000,00;"Франция";"Laughing Lumberjack Lager";"Напитки";"США";3
10861;17.2.1998 0:00:00;4000,00;"США";"Laughing Lumberjack Lager";"Напитки";"США";4
10873;9.2.1998 0:00:00;2000,00;"Финляндия";"Laughing Lumberjack Lager";"Напитки";"США";4
10884;13.2.1998 0:00:00;3799,99;"США";"Laughing Lumberjack Lager";"Напитки";"США";4
10929;12.3.1998 0:00:00;6000,00;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";6
10930;18.3.1998 0:00:00;3600,00;"Бельгия";"Laughing Lumberjack Lager";"Напитки";"США";4
10956;20.3.1998 0:00:00;1200,00;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";6
10978;23.4.1998 0:00:00;3399,99;"Бельгия";"Laughing Lumberjack Lager";"Напитки";"США";9
10990;7.4.1998 0:00:00;6500,00;"Австрия";"Laughing Lumberjack Lager";"Напитки";"США";2
11034;27.4.1998 0:00:00;1349,99;"США";"Laughing Lumberjack Lager";"Напитки";"США";8
11040;;2000,00;"США";"Laughing Lumberjack Lager";"Напитки";"США";4
11058;;300,00;"Германия";"Laughing Lumberjack Lager";"Напитки";"США";9
10254;23.7.1996 0:00:00;458,99;"Швейцария";"Outback Lager";"Напитки";"Австралия";5
10275;9.8.1996 0:00:00;410,39;"Италия";"Outback Lager";"Напитки";"Австралия";1
10280;12.9.1996 0:00:00;432,00;"Швеция";"Outback Lager";"Напитки";"Австралия";2
10281;21.8.1996 0:00:00;216,00;"Испания";"Outback Lager";"Напитки";"Австралия";4
10293;11.9.1996 0:00:00;360,00;"Мексика";"Outback Lager";"Напитки";"Австралия";1
10352;18.11.1996 0:00:00;360,00;"Португалия";"Outback Lager";"Напитки";"Австралия";3
10355;20.11.1996 0:00:00;900,00;"Великобритания";"Outback Lager";"Напитки";"Австралия";6
10358;27.11.1996 0:00:00;341,99;"Франция";"Outback Lager";"Напитки";"Австралия";5
10386;25.12.1996 0:00:00;540,00;"Бразилия";"Outback Lager";"Напитки";"Австралия";9
10387;20.12.1996 0:00:00;540,00;"Норвегия";"Outback Lager";"Напитки";"Австралия";1
10446;19.2.1997 0:00:00;647,99;"Германия";"Outback Lager";"Напитки";"Австралия";6
10465;14.3.1997 0:00:00;900,00;"Дания";"Outback Lager";"Напитки";"Австралия";1
10467;11.3.1997 0:00:00;1008,00;"Италия";"Outback Lager";"Напитки";"Австралия";8
10472;19.3.1997 0:00:00;2735,99;"Великобритания";"Outback Lager";"Напитки";"Австралия";8
10498;11.4.1997 0:00:00;630,00;"Венесуэлла";"Outback Lager";"Напитки";"Австралия";8
10512;24.4.1997 0:00:00;382,49;"Бразилия";"Outback Lager";"Напитки";"Австралия";7
10518;5.5.1997 0:00:00;225,00;"Мексика";"Outback Lager";"Напитки";"Австралия";4
10520;1.5.1997 0:00:00;360,00;"Норвегия";"Outback Lager";"Напитки";"Австралия";7
10541;29.5.1997 0:00:00;1417,49;"Бразилия";"Outback Lager";"Напитки";"Австралия";2
10555;4.6.1997 0:00:00;647,99;"США";"Outback Lager";"Напитки";"Австралия";6
10565;18.6.1997 0:00:00;1012,49;"Канада";"Outback Lager";"Напитки";"Австралия";8
10597;18.7.1997 0:00:00;1259,99;"Австрия";"Outback Lager";"Напитки";"Австралия";7
10620;14.8.1997 0:00:00;225,00;"Канада";"Outback Lager";"Напитки";"Австралия";2
10623;12.8.1997 0:00:00;135,00;"Германия";"Outback Lager";"Напитки";"Австралия";8
10648;9.9.1997 0:00:00;573,74;"Бразилия";"Outback Lager";"Напитки";"Австралия";5
10695;14.10.1997 0:00:00;900,00;"Финляндия";"Outback Lager";"Напитки";"Австралия";7
10704;7.11.1997 0:00:00;1575,00;"Бразилия";"Outback Lager";"Напитки";"Австралия";6
10763;8.12.1997 0:00:00;900,00;"Франция";"Outback Lager";"Напитки";"Австралия";3
10799;5.1.1998 0:00:00;764,99;"Германия";"Outback Lager";"Напитки";"Австралия";9
10859;2.2.1998 0:00:00;1350,00;"Германия";"Outback Lager";"Напитки";"Австралия";1
10866;12.2.1998 0:00:00;202,50;"Швеция";"Outback Lager";"Напитки";"Австралия";5
10883;20.2.1998 0:00:00;360,00;"США";"Outback Lager";"Напитки";"Австралия";8
10885;18.2.1998 0:00:00;540,00;"Бельгия";"Outback Lager";"Напитки";"Австралия";6
10893;20.2.1998 0:00:00;450,00;"Германия";"Outback Lager";"Напитки";"Австралия";9
10895;23.2.1998 0:00:00;4950,00;"Австрия";"Outback Lager";"Напитки";"Австралия";3
10922;5.3.1998 0:00:00;1575,00;"Бразилия";"Outback Lager";"Напитки";"Австралия";5
10946;19.3.1998 0:00:00;1125,00;"Дания";"Outback Lager";"Напитки";"Австралия";1
10960;8.4.1998 0:00:00;337,50;"Венесуэлла";"Outback Lager";"Напитки";"Австралия";3
10968;1.4.1998 0:00:00;1350,00;"Австрия";"Outback Lager";"Напитки";"Австралия";1
10979;31.3.1998 0:00:00;3600,00;"Австрия";"Outback Lager";"Напитки";"Австралия";8
10984;3.4.1998 0:00:00;900,00;"США";"Outback Lager";"Напитки";"Австралия";1
10998;17.4.1998 0:00:00;540,00;"Польша";"Outback Lager";"Напитки";"Австралия";8
11000;14.4.1998 0:00:00;1012,50;"США";"Outback Lager";"Напитки";"Австралия";2
11009;10.4.1998 0:00:00;540,00;"Испания";"Outback Lager";"Напитки";"Австралия";2
11010;21.4.1998 0:00:00;450,00;"Италия";"Outback Lager";"Напитки";"Австралия";2
11027;20.4.1998 0:00:00;1012,50;"Канада";"Outback Lager";"Напитки";"Австралия";1
11031;24.4.1998 0:00:00;945,00;"США";"Outback Lager";"Напитки";"Австралия";6
11051;;359,99;"Франция";"Outback Lager";"Напитки";"Австралия";7
11055;5.5.1998 0:00:00;675,00;"Венесуэлла";"Outback Lager";"Напитки";"Австралия";7
11073;;900,00;"Мексика";"Outback Lager";"Напитки";"Австралия";2
10268;2.8.1996 0:00:00;9900,00;"Венесуэлла";"Rhonbrau Klosterbier";"Напитки";"Германия";8
10290;3.9.1996 0:00:00;14850,00;"Бразилия";"Rhonbrau Klosterbier";"Напитки";"Германия";8
10305;9.10.1996 0:00:00;22274,99;"США";"Rhonbrau Klosterbier";"Напитки";"Германия";8
10354;20.11.1996 0:00:00;3960,00;"Мексика";"Rhonbrau Klosterbier";"Напитки";"Германия";8
10360;2.12.1996 0:00:00;34650,00;"Франция";"Rhonbrau Klosterbier";"Напитки";"Германия";4
10369;9.12.1996 0:00:00;19800,00;"США";"Rhonbrau Klosterbier";"Напитки";"Германия";8
10382;16.12.1996 0:00:00;13860,00;"Австрия";"Rhonbrau Klosterbier";"Напитки";"Германия";4
10400;16.1.1997 0:00:00;20790,00;"Великобритания";"Rhonbrau Klosterbier";"Напитки";"Германия";1
10440;28.2.1997 0:00:00;20195,99;"США";"Rhonbrau Klosterbier";"Напитки";"Германия";4
10465;14.3.1997 0:00:00;16037,99;"Дания";"Rhonbrau Klosterbier";"Напитки";"Германия";1
10510;28.4.1997 0:00:00;44564,40;"США";"Rhonbrau Klosterbier";"Напитки";"Германия";6
10583;4.7.1997 0:00:00;12379,00;"Финляндия";"Rhonbrau Klosterbier";"Напитки";"Германия";2
10624;19.8.1997 0:00:00;7427,40;"США";"Rhonbrau Klosterbier";"Напитки";"Германия";4
10629;20.8.1997 0:00:00;24758,00;"Испания";"Rhonbrau Klosterbier";"Напитки";"Германия";4
10666;22.9.1997 0:00:00;44564,40;"Швейцария";"Rhonbrau Klosterbier";"Напитки";"Германия";7
10687;30.10.1997 0:00:00;12379,00;"Ирландия";"Rhonbrau Klosterbier";"Напитки";"Германия";9
10691;22.10.1997 0:00:00;49516,00;"Германия";"Rhonbrau Klosterbier";"Напитки";"Германия";2
10698;17.10.1997 0:00:00;14112,05;"Австрия";"Rhonbrau Klosterbier";"Напитки";"Германия";4
10772;19.12.1997 0:00:00;22282,20;"Германия";"Rhonbrau Klosterbier";"Напитки";"Германия";3
10787;26.12.1997 0:00:00;23520,09;"Франция";"Rhonbrau Klosterbier";"Напитки";"Германия";2
10791;1.1.1998 0:00:00;16464,06;"Германия";"Rhonbrau Klosterbier";"Напитки";"Германия";6
10801;31.12.1997 0:00:00;18568,50;"Испания";"Rhonbrau Klosterbier";"Напитки";"Германия";4
10834;19.1.1998 0:00:00;9408,03;"Бразилия";"Rhonbrau Klosterbier";"Напитки";"Германия";1
10857;6.2.1998 0:00:00;9284,25;"Швеция";"Rhonbrau Klosterbier";"Напитки";"Германия";8
10893;20.2.1998 0:00:00;29709,60;"Германия";"Rhonbrau Klosterbier";"Напитки";"Германия";9
10897;25.2.1998 0:00:00;99032,00;"Ирландия";"Rhonbrau Klosterbier";"Напитки";"Германия";3
10912;18.3.1998 0:00:00;55705,50;"Ирландия";"Rhonbrau Klosterbier";"Напитки";"Германия";2
10971;2.4.1998 0:00:00;17330,60;"Франция";"Rhonbrau Klosterbier";"Напитки";"Германия";2
10993;10.4.1998 0:00:00;46421,25;"Швеция";"Rhonbrau Klosterbier";"Напитки";"Германия";7
11006;15.4.1998 0:00:00;1856,85;"США";"Rhonbrau Klosterbier";"Напитки";"Германия";3
11007;13.4.1998 0:00:00;12379,00;"Португалия";"Rhonbrau Klosterbier";"Напитки";"Германия";8
11030;27.4.1998 0:00:00;55705,50;"США";"Rhonbrau Klosterbier";"Напитки";"Германия";7
10282;21.8.1996 0:00:00;1242,00;"Испания";"Lakkalikoori";"Напитки";"Финляндия";4
10306;23.9.1996 0:00:00;2070,00;"Испания";"Lakkalikoori";"Напитки";"Финляндия";1
10327;14.10.1996 0:00:00;5795,99;"Швеция";"Lakkalikoori";"Напитки";"Финляндия";2
10329;23.10.1996 0:00:00;1573,19;"США";"Lakkalikoori";"Напитки";"Финляндия";4
10338;29.10.1996 0:00:00;3105,00;"США";"Lakkalikoori";"Напитки";"Финляндия";4
10380;16.1.1997 0:00:00;3353,39;"Ирландия";"Lakkalikoori";"Напитки";"Финляндия";8
10401;10.1.1997 0:00:00;3726,00;"США";"Lakkalikoori";"Напитки";"Финляндия";1
10461;5.3.1997 0:00:00;4347,00;"Венесуэлла";"Lakkalikoori";"Напитки";"Финляндия";1
10468;12.3.1997 0:00:00;1656,00;"Германия";"Lakkalikoori";"Напитки";"Финляндия";3
10522;6.5.1997 0:00:00;4142,39;"Германия";"Lakkalikoori";"Напитки";"Финляндия";4
10524;7.5.1997 0:00:00;2589,00;"Германия";"Lakkalikoori";"Напитки";"Финляндия";1
10532;12.5.1997 0:00:00;3883,50;"Великобритания";"Lakkalikoori";"Напитки";"Финляндия";7
10534;14.5.1997 0:00:00;2589,00;"Германия";"Lakkalikoori";"Напитки";"Финляндия";8
10560;9.6.1997 0:00:00;5178,00;"Германия";"Lakkalikoori";"Напитки";"Финляндия";8
10650;3.9.1997 0:00:00;7767,00;"Бразилия";"Lakkalikoori";"Напитки";"Финляндия";5
10652;8.9.1997 0:00:00;388,35;"Бразилия";"Lakkalikoori";"Напитки";"Финляндия";4
10719;5.11.1997 0:00:00;582,52;"США";"Lakkalikoori";"Напитки";"Финляндия";8
10728;11.11.1997 0:00:00;3883,50;"Бразилия";"Lakkalikoori";"Напитки";"Финляндия";4
10734;12.11.1997 0:00:00;3883,50;"Бразилия";"Lakkalikoori";"Напитки";"Финляндия";2
10751;3.12.1997 0:00:00;7767,00;"Швейцария";"Lakkalikoori";"Напитки";"Финляндия";3
10786;23.12.1997 0:00:00;3106,79;"Бразилия";"Lakkalikoori";"Напитки";"Финляндия";8
10802;2.1.1998 0:00:00;4854,37;"Дания";"Lakkalikoori";"Напитки";"Финляндия";4
10834;19.1.1998 0:00:00;4919,09;"Бразилия";"Lakkalikoori";"Напитки";"Финляндия";1
10866;12.2.1998 0:00:00;7767,00;"Швеция";"Lakkalikoori";"Напитки";"Финляндия";5
10891;19.2.1998 0:00:00;3689,32;"Германия";"Lakkalikoori";"Напитки";"Финляндия";7
10893;20.2.1998 0:00:00;9061,50;"Германия";"Lakkalikoori";"Напитки";"Финляндия";9
10897;25.2.1998 0:00:00;9320,40;"Ирландия";"Lakkalikoori";"Напитки";"Финляндия";3
10917;11.3.1998 0:00:00;258,90;"Испания";"Lakkalikoori";"Напитки";"Финляндия";4
10957;27.3.1998 0:00:00;7767,00;"Венесуэлла";"Lakkalikoori";"Напитки";"Финляндия";8
11015;20.4.1998 0:00:00;3883,50;"Норвегия";"Lakkalikoori";"Напитки";"Финляндия";2
11065;;776,70;"Венесуэлла";"Lakkalikoori";"Напитки";"Финляндия";8
10261;30.7.1996 0:00:00;2880,00;"Бразилия";"Sasquatch Ale";"Напитки";"США";4
10281;21.8.1996 0:00:00;576,00;"Испания";"Sasquatch Ale";"Напитки";"США";4
10286;30.8.1996 0:00:00;14400,00;"Германия";"Sasquatch Ale";"Напитки";"США";8
10321;11.10.1996 0:00:00;1440,00;"Великобритания";"Sasquatch Ale";"Напитки";"США";3
10324;10.10.1996 0:00:00;8567,99;"США";"Sasquatch Ale";"Напитки";"США";9
10390;26.12.1996 0:00:00;5183,99;"Австрия";"Sasquatch Ale";"Напитки";"США";6
10398;9.1.1997 0:00:00;4320,00;"США";"Sasquatch Ale";"Напитки";"США";2
10400;16.1.1997 0:00:00;5040,00;"Великобритания";"Sasquatch Ale";"Напитки";"США";1
10424;27.1.1997 0:00:00;6911,99;"Канада";"Sasquatch Ale";"Напитки";"США";7
10444;21.2.1997 0:00:00;1152,00;"Швеция";"Sasquatch Ale";"Напитки";"США";3
10521;2.5.1997 0:00:00;540,00;"Аргентина";"Sasquatch Ale";"Напитки";"США";8
10546;27.5.1997 0:00:00;5400,00;"Франция";"Sasquatch Ale";"Напитки";"США";1
10551;6.6.1997 0:00:00;3059,99;"Португалия";"Sasquatch Ale";"Напитки";"США";4
10553;3.6.1997 0:00:00;1080,00;"Финляндия";"Sasquatch Ale";"Напитки";"США";2
10578;25.7.1997 0:00:00;3600,00;"Великобритания";"Sasquatch Ale";"Напитки";"США";4
10587;9.7.1997 0:00:00;3600,00;"Бразилия";"Sasquatch Ale";"Напитки";"США";1
10589;14.7.1997 0:00:00;720,00;"США";"Sasquatch Ale";"Напитки";"США";8
10595;14.7.1997 0:00:00;4050,00;"Австрия";"Sasquatch Ale";"Напитки";"США";2
10623;12.8.1997 0:00:00;4859,99;"Германия";"Sasquatch Ale";"Напитки";"США";8
10697;14.10.1997 0:00:00;1215,00;"Венесуэлла";"Sasquatch Ale";"Напитки";"США";3
10720;5.11.1997 0:00:00;3780,00;"Бразилия";"Sasquatch Ale";"Напитки";"США";8
10740;25.11.1997 0:00:00;5039,99;"США";"Sasquatch Ale";"Напитки";"США";4
10789;31.12.1997 0:00:00;2700,00;"Франция";"Sasquatch Ale";"Напитки";"США";1
10821;15.1.1998 0:00:00;3600,00;"США";"Sasquatch Ale";"Напитки";"США";1
10831;23.1.1998 0:00:00;1440,00;"Норвегия";"Sasquatch Ale";"Напитки";"США";3
10836;21.1.1998 0:00:00;1080,00;"Австрия";"Sasquatch Ale";"Напитки";"США";7
10845;30.1.1998 0:00:00;4049,99;"Германия";"Sasquatch Ale";"Напитки";"США";8
10864;9.2.1998 0:00:00;720,00;"Великобритания";"Sasquatch Ale";"Напитки";"США";4
10868;23.2.1998 0:00:00;5400,00;"Бразилия";"Sasquatch Ale";"Напитки";"США";7
10870;13.2.1998 0:00:00;540,00;"Польша";"Sasquatch Ale";"Напитки";"США";5
10921;9.3.1998 0:00:00;1800,00;"Дания";"Sasquatch Ale";"Напитки";"США";1
10957;27.3.1998 0:00:00;7200,00;"Венесуэлла";"Sasquatch Ale";"Напитки";"США";8
11002;16.4.1998 0:00:00;2294,99;"США";"Sasquatch Ale";"Напитки";"США";4
11035;24.4.1998 0:00:00;10800,00;"Бельгия";"Sasquatch Ale";"Напитки";"США";2
11039;;4320,00;"Венесуэлла";"Sasquatch Ale";"Напитки";"США";1
11046;24.4.1998 0:00:00;3077,99;"Германия";"Sasquatch Ale";"Напитки";"США";8
10255;15.7.1996 0:00:00;3800,00;"Швейцария";"Steeleye Stout";"Напитки";"США";9
10270;2.8.1996 0:00:00;4560,00;"Финляндия";"Steeleye Stout";"Напитки";"США";1
10298;11.9.1996 0:00:00;4560,00;"Ирландия";"Steeleye Stout";"Напитки";"США";6
10313;4.10.1996 0:00:00;1824,00;"Германия";"Steeleye Stout";"Напитки";"США";2
10337;29.10.1996 0:00:00;3040,00;"Германия";"Steeleye Stout";"Напитки";"США";4
10342;4.11.1996 0:00:00;4863,99;"Германия";"Steeleye Stout";"Напитки";"США";4
10358;27.11.1996 0:00:00;2887,99;"Франция";"Steeleye Stout";"Напитки";"США";5
10371;24.12.1996 0:00:00;729,59;"Франция";"Steeleye Stout";"Напитки";"США";1
10406;13.1.1997 0:00:00;683,99;"Бразилия";"Steeleye Stout";"Напитки";"США";7
10525;23.5.1997 0:00:00;5700,00;"Франция";"Steeleye Stout";"Напитки";"США";1
10527;7.5.1997 0:00:00;5129,99;"Германия";"Steeleye Stout";"Напитки";"США";7
10547;2.6.1997 0:00:00;11400,00;"Великобритания";"Steeleye Stout";"Напитки";"США";3
10563;24.6.1997 0:00:00;4750,00;"Бразилия";"Steeleye Stout";"Напитки";"США";2
10610;6.8.1997 0:00:00;2992,50;"Франция";"Steeleye Stout";"Напитки";"США";8
10612;1.8.1997 0:00:00;10450,00;"США";"Steeleye Stout";"Напитки";"США";1
10645;2.9.1997 0:00:00;2850,00;"Бразилия";"Steeleye Stout";"Напитки";"США";4
10669;22.9.1997 0:00:00;5700,00;"Дания";"Steeleye Stout";"Напитки";"США";2
10687;30.10.1997 0:00:00;855,00;"Ирландия";"Steeleye Stout";"Напитки";"США";9
10708;5.11.1997 0:00:00;950,00;"США";"Steeleye Stout";"Напитки";"США";6
10718;29.10.1997 0:00:00;7600,00;"Германия";"Steeleye Stout";"Напитки";"США";1
10739;17.11.1997 0:00:00;1140,00;"Франция";"Steeleye Stout";"Напитки";"США";3
10756;2.12.1997 0:00:00;3039,99;"США";"Steeleye Stout";"Напитки";"США";8
10784;22.12.1997 0:00:00;5700,00;"Италия";"Steeleye Stout";"Напитки";"США";4
10838;23.1.1998 0:00:00;7125,00;"Венесуэлла";"Steeleye Stout";"Напитки";"США";3
10893;20.2.1998 0:00:00;3800,00;"Германия";"Steeleye Stout";"Напитки";"США";9
10925;13.3.1998 0:00:00;4037,49;"Бразилия";"Steeleye Stout";"Напитки";"США";3
10936;18.3.1998 0:00:00;4559,99;"США";"Steeleye Stout";"Напитки";"США";3
10984;3.4.1998 0:00:00;7600,00;"США";"Steeleye Stout";"Напитки";"США";1
11009;10.4.1998 0:00:00;2565,00;"Испания";"Steeleye Stout";"Напитки";"США";2
11016;13.4.1998 0:00:00;3040,00;"Великобритания";"Steeleye Stout";"Напитки";"США";9
11032;23.4.1998 0:00:00;6650,00;"США";"Steeleye Stout";"Напитки";"США";2
10253;16.7.1996 0:00:00;6048,00;"Бразилия";"Cote de Blaye";"Напитки";"Франция";3
10257;22.7.1996 0:00:00;864,00;"Венесуэлла";"Cote de Blaye";"Напитки";"Франция";4
10297;10.9.1996 0:00:00;8640,00;"Франция";"Cote de Blaye";"Напитки";"Франция";5
10305;9.10.1996 0:00:00;3887,99;"США";"Cote de Blaye";"Напитки";"Франция";8
10323;14.10.1996 0:00:00;576,00;"Германия";"Cote de Blaye";"Напитки";"Франция";4
10347;8.11.1996 0:00:00;6119,99;"Бразилия";"Cote de Blaye";"Напитки";"Франция";4
10361;3.12.1996 0:00:00;6998,39;"Германия";"Cote de Blaye";"Напитки";"Франция";1
10377;13.12.1996 0:00:00;2447,99;"Великобритания";"Cote de Blaye";"Напитки";"Франция";1
10445;20.2.1997 0:00:00;864,00;"Швеция";"Cote de Blaye";"Напитки";"Франция";3
10455;3.3.1997 0:00:00;2880,00;"Финляндия";"Cote de Blaye";"Напитки";"Франция";8
10477;25.3.1997 0:00:00;2160,00;"Португалия";"Cote de Blaye";"Напитки";"Франция";5
10508;13.5.1997 0:00:00;1800,00;"Германия";"Cote de Blaye";"Напитки";"Франция";1
10577;30.6.1997 0:00:00;1800,00;"США";"Cote de Blaye";"Напитки";"Франция";9
10614;1.8.1997 0:00:00;900,00;"Германия";"Cote de Blaye";"Напитки";"Франция";8
10643;2.9.1997 0:00:00;2835,00;"Россия";"Cote de Blaye";"Напитки";"Франция";6
10647;3.9.1997 0:00:00;3600,00;"Бразилия";"Cote de Blaye";"Напитки";"Франция";4
10654;11.9.1997 0:00:00;3239,99;"Швеция";"Cote de Blaye";"Напитки";"Франция";5
10661;15.9.1997 0:00:00;431,99;"Ирландия";"Cote de Blaye";"Напитки";"Франция";7
10762;9.12.1997 0:00:00;2880,00;"Швеция";"Cote de Blaye";"Напитки";"Франция";3
10764;8.12.1997 0:00:00;21059,99;"Австрия";"Cote de Blaye";"Напитки";"Франция";6
10784;22.12.1997 0:00:00;305,99;"Италия";"Cote de Blaye";"Напитки";"Франция";4
10827;6.2.1998 0:00:00;3780,00;"Франция";"Cote de Blaye";"Напитки";"Франция";1
10830;21.1.1998 0:00:00;5040,00;"Бразилия";"Cote de Blaye";"Напитки";"Франция";4
