КодЗаказа|ДатаРазмещения|Стоимость|СтранаПолучателя|Марка|Категория|странаПоставщика|КодСотрудника
10597|11.7.1997 0:00:00|1259,99|Австрия|Outback Lager|Напитки|Австралия|7
10620|5.8.1997 0:00:00|225,00|Канада|Outback Lager|Напитки|Австралия|2
10623|7.8.1997 0:00:00|135,00|Германия|Outback Lager|Напитки|Австралия|8
10648|28.8.1997 0:00:00|573,74|Бразилия|Outback Lager|Напитки|Австралия|5
10695|7.10.1997 0:00:00|900,00|Финляндия|Outback Lager|Напитки|Австралия|7
10704|14.10.1997 0:00:00|1575,00|Бразилия|Outback Lager|Напитки|Австралия|6
10763|3.12.1997 0:00:00|900,00|Франция|Outback Lager|Напитки|Австралия|3
10799|26.12.1997 0:00:00|764,99|Германия|Outback Lager|Напитки|Австралия|9
10859|29.1.1998 0:00:00|1350,00|Германия|Outback Lager|Напитки|Австралия|1
10866|3.2.1998 0:00:00|202,50|Швеция|Outback Lager|Напитки|Австралия|5
10883|12.2.1998 0:00:00|360,00|США|Outback Lager|Напитки|Австралия|8
10885|12.2.1998 0:00:00|540,00|Бельгия|Outback Lager|Напитки|Австралия|6
10893|18.2.1998 0:00:00|450,00|Германия|Outback Lager|Напитки|Австралия|9
10895|18.2.1998 0:00:00|4950,00|Австрия|Outback Lager|Напитки|Австралия|3
10922|3.3.1998 0:00:00|1575,00|Бразилия|Outback Lager|Напитки|Австралия|5
10946|12.3.1998 0:00:00|1125,00|Дания|Outback Lager|Напитки|Австралия|1
10960|19.3.1998 0:00:00|337,50|Венесуэлла|Outback Lager|Напитки|Австралия|3
10968|23.3.1998 0:00:00|1350,00|Австрия|Outback Lager|Напитки|Австралия|1
10979|26.3.1998 0:00:00|3600,00|Австрия|Outback Lager|Напитки|Австралия|8
10984|30.3.1998 0:00:00|900,00|США|Outback Lager|Напитки|Австралия|1
10998|3.4.1998 0:00:00|540,00|Польша|Outback Lager|Напитки|Австралия|8
11000|6.4.1998 0:00:00|1012,50|США|Outback Lager|Напитки|Австралия|2
11009|8.4.1998 0:00:00|540,00|Испания|Outback Lager|Напитки|Австралия|2
11010|9.4.1998 0:00:00|450,00|Италия|Outback Lager|Напитки|Австралия|2
11027|16.4.1998 0:00:00|1012,50|Канада|Outback Lager|Напитки|Австралия|1
11031|17.4.1998 0:00:00|945,00|США|Outback Lager|Напитки|Австралия|6
11051|27.4.1998 0:00:00|359,99|Франция|Outback Lager|Напитки|Австралия|7
11055|28.4.1998 0:00:00|675,00|Венесуэлла|Outback Lager|Напитки|Австралия|7
11073|5.5.1998 0:00:00|900,00|Мексика|Outback Lager|Напитки|Австралия|2
10268|30.7.1996 0:00:00|9900,00|Венесуэлла|Rhonbrau Klosterbier|Напитки|Германия|8
10290|27.8.1996 0:00:00|14850,00|Бразилия|Rhonbrau Klosterbier|Напитки|Германия|8
10305|13.9.1996 0:00:00|22274,99|США|Rhonbrau Klosterbier|Напитки|Германия|8
10354|14.11.1996 0:00:00|3960,00|Мексика|Rhonbrau Klosterbier|Напитки|Германия|8
10360|22.11.1996 0:00:00|34650,00|Франция|Rhonbrau Klosterbier|Напитки|Германия|4
10369|2.12.1996 0:00:00|19800,00|США|Rhonbrau Klosterbier|Напитки|Германия|8
10382|13.12.1996 0:00:00|13860,00|Австрия|Rhonbrau Klosterbier|Напитки|Германия|4
10400|1.1.1997 0:00:00|20790,00|Великобритания|Rhonbrau Klosterbier|Напитки|Германия|1
10440|10.2.1997 0:00:00|20195,99|США|Rhonbrau Klosterbier|Напитки|Германия|4
10465|5.3.1997 0:00:00|16037,99|Дания|Rhonbrau Klosterbier|Напитки|Германия|1
10510|18.4.1997 0:00:00|44564,40|США|Rhonbrau Klosterbier|Напитки|Германия|6
10583|30.6.1997 0:00:00|12379,00|Финляндия|Rhonbrau Klosterbier|Напитки|Германия|2
10624|7.8.1997 0:00:00|7427,40|США|Rhonbrau Klosterbier|Напитки|Германия|4
10629|12.8.1997 0:00:00|24758,00|Испания|Rhonbrau Klosterbier|Напитки|Германия|4
10666|12.9.1997 0:00:00|44564,40|Швейцария|Rhonbrau Klosterbier|Напитки|Германия|7
10687|30.9.1997 0:00:00|12379,00|Ирландия|Rhonbrau Klosterbier|Напитки|Германия|9
10691|3.10.1997 0:00:00|49516,00|Германия|Rhonbrau Klosterbier|Напитки|Германия|2
10698|9.10.1997 0:00:00|14112,05|Австрия|Rhonbrau Klosterbier|Напитки|Германия|4
10772|10.12.1997 0:00:00|22282,20|Германия|Rhonbrau Klosterbier|Напитки|Германия|3
10787|19.12.1997 0:00:00|23520,09|Франция|Rhonbrau Klosterbier|Напитки|Германия|2
10791|23.12.1997 0:00:00|16464,06|Германия|Rhonbrau Klosterbier|Напитки|Германия|6
10801|29.12.1997 0:00:00|18568,50|Испания|Rhonbrau Klosterbier|Напитки|Германия|4
10834|15.1.1998 0:00:00|9408,03|Бразилия|Rhonbrau Klosterbier|Напитки|Германия|1
10857|28.1.1998 0:00:00|9284,25|Швеция|Rhonbrau Klosterbier|Напитки|Германия|8
10893|18.2.1998 0:00:00|29709,60|Германия|Rhonbrau Klosterbier|Напитки|Германия|9
10897|19.2.1998 0:00:00|99032,00|Ирландия|Rhonbrau Klosterbier|Напитки|Германия|3
10912|26.2.1998 0:00:00|55705,50|Ирландия|Rhonbrau Klosterbier|Напитки|Германия|2
10971|24.3.1998 0:00:00|17330,60|Франция|Rhonbrau Klosterbier|Напитки|Германия|2
10993|1.4.1998 0:00:00|46421,25|Швеция|Rhonbrau Klosterbier|Напитки|Германия|7
11006|7.4.1998 0:00:00|1856,85|США|Rhonbrau Klosterbier|Напитки|Германия|3
11007|8.4.1998 0:00:00|12379,00|Португалия|Rhonbrau Klosterbier|Напитки|Германия|8
11030|17.4.1998 0:00:00|55705,50|США|Rhonbrau Klosterbier|Напитки|Германия|7
10282|15.8.1996 0:00:00|1242,00|Испания|Lakkalikoori|Напитки|Финляндия|4
10306|16.9.1996 0:00:00|2070,00|Испания|Lakkalikoori|Напитки|Финляндия|1
10327|11.10.1996 0:00:00|5795,99|Швеция|Lakkalikoori|Напитки|Финляндия|2
10329|15.10.1996 0:00:00|1573,19|США|Lakkalikoori|Напитки|Финляндия|4
10338|25.10.1996 0:00:00|3105,00|США|Lakkalikoori|Напитки|Финляндия|4
10380|12.12.1996 0:00:00|3353,39|Ирландия|Lakkalikoori|Напитки|Финляндия|8
10401|1.1.1997 0:00:00|3726,00|США|Lakkalikoori|Напитки|Финляндия|1
10461|28.2.1997 0:00:00|4347,00|Венесуэлла|Lakkalikoori|Напитки|Финляндия|1
10468|7.3.1997 0:00:00|1656,00|Германия|Lakkalikoori|Напитки|Финляндия|3
10522|30.4.1997 0:00:00|4142,39|Германия|Lakkalikoori|Напитки|Финляндия|4
10524|1.5.1997 0:00:00|2589,00|Германия|Lakkalikoori|Напитки|Финляндия|1
10532|9.5.1997 0:00:00|3883,50|Великобритания|Lakkalikoori|Напитки|Финляндия|7
10534|12.5.1997 0:00:00|2589,00|Германия|Lakkalikoori|Напитки|Финляндия|8
10560|6.6.1997 0:00:00|5178,00|Германия|Lakkalikoori|Напитки|Финляндия|8
10650|29.8.1997 0:00:00|7767,00|Бразилия|Lakkalikoori|Напитки|Финляндия|5
10652|1.9.1997 0:00:00|388,35|Бразилия|Lakkalikoori|Напитки|Финляндия|4
10719|27.10.1997 0:00:00|582,52|США|Lakkalikoori|Напитки|Финляндия|8
10728|4.11.1997 0:00:00|3883,50|Бразилия|Lakkalikoori|Напитки|Финляндия|4
10734|7.11.1997 0:00:00|3883,50|Бразилия|Lakkalikoori|Напитки|Финляндия|2
10751|24.11.1997 0:00:00|7767,00|Швейцария|Lakkalikoori|Напитки|Финляндия|3
10786|19.12.1997 0:00:00|3106,79|Бразилия|Lakkalikoori|Напитки|Финляндия|8
10802|29.12.1997 0:00:00|4854,37|Дания|Lakkalikoori|Напитки|Финляндия|4
10834|15.1.1998 0:00:00|4919,09|Бразилия|Lakkalikoori|Напитки|Финляндия|1
10866|3.2.1998 0:00:00|7767,00|Швеция|Lakkalikoori|Напитки|Финляндия|5
10891|17.2.1998 0:00:00|3689,32|Германия|Lakkalikoori|Напитки|Финляндия|7
10893|18.2.1998 0:00:00|9061,50|Германия|Lakkalikoori|Напитки|Финляндия|9
10897|19.2.1998 0:00:00|9320,40|Ирландия|Lakkalikoori|Напитки|Финляндия|3
10917|2.3.1998 0:00:00|258,90|Испания|Lakkalikoori|Напитки|Финляндия|4
10957|18.3.1998 0:00:00|7767,00|Венесуэлла|Lakkalikoori|Напитки|Финляндия|8
11015|10.4.1998 0:00:00|3883,50|Норвегия|Lakkalikoori|Напитки|Финляндия|2
11065|1.5.1998 0:00:00|776,70|Венесуэлла|Lakkalikoori|Напитки|Финляндия|8
10261|19.7.1996 0:00:00|2880,00|Бразилия|Sasquatch Ale|Напитки|США|4
10281|14.8.1996 0:00:00|576,00|Испания|Sasquatch Ale|Напитки|США|4
10286|21.8.1996 0:00:00|14400,00|Германия|Sasquatch Ale|Напитки|США|8
10321|3.10.1996 0:00:00|1440,00|Великобритания|Sasquatch Ale|Напитки|США|3
10324|8.10.1996 0:00:00|8567,99|США|Sasquatch Ale|Напитки|США|9
10390|23.12.1996 0:00:00|5183,99|Австрия|Sasquatch Ale|Напитки|США|6
10398|30.12.1996 0:00:00|4320,00|США|Sasquatch Ale|Напитки|США|2
10400|1.1.1997 0:00:00|5040,00|Великобритания|Sasquatch Ale|Напитки|США|1
10424|23.1.1997 0:00:00|6911,99|Канада|Sasquatch Ale|Напитки|США|7
10444|12.2.1997 0:00:00|1152,00|Швеция|Sasquatch Ale|Напитки|США|3
10521|29.4.1997 0:00:00|540,00|Аргентина|Sasquatch Ale|Напитки|США|8
10546|23.5.1997 0:00:00|5400,00|Франция|Sasquatch Ale|Напитки|США|1
10551|28.5.1997 0:00:00|3059,99|Португалия|Sasquatch Ale|Напитки|США|4
10553|30.5.1997 0:00:00|1080,00|Финляндия|Sasquatch Ale|Напитки|США|2
10578|24.6.1997 0:00:00|3600,00|Великобритания|Sasquatch Ale|Напитки|США|4
10587|2.7.1997 0:00:00|3600,00|Бразилия|Sasquatch Ale|Напитки|США|1
10589|4.7.1997 0:00:00|720,00|США|Sasquatch Ale|Напитки|США|8
10595|10.7.1997 0:00:00|4050,00|Австрия|Sasquatch Ale|Напитки|США|2
10623|7.8.1997 0:00:00|4859,99|Германия|Sasquatch Ale|Напитки|США|8
10697|8.10.1997 0:00:00|1215,00|Венесуэлла|Sasquatch Ale|Напитки|США|3
10720|28.10.1997 0:00:00|3780,00|Бразилия|Sasquatch Ale|Напитки|США|8
10740|13.11.1997 0:00:00|5039,99|США|Sasquatch Ale|Напитки|США|4
10789|22.12.1997 0:00:00|2700,00|Франция|Sasquatch Ale|Напитки|США|1
10821|8.1.1998 0:00:00|3600,00|США|Sasquatch Ale|Напитки|США|1
10831|14.1.1998 0:00:00|1440,00|Норвегия|Sasquatch Ale|Напитки|США|3
10836|16.1.1998 0:00:00|1080,00|Австрия|Sasquatch Ale|Напитки|США|7
10845|21.1.1998 0:00:00|4049,99|Германия|Sasquatch Ale|Напитки|США|8
10864|2.2.1998 0:00:00|720,00|Великобритания|Sasquatch Ale|Напитки|США|4
10868|4.2.1998 0:00:00|5400,00|Бразилия|Sasquatch Ale|Напитки|США|7
10870|4.2.1998 0:00:00|540,00|Польша|Sasquatch Ale|Напитки|США|5
10921|3.3.1998 0:00:00|1800,00|Дания|Sasquatch Ale|Напитки|США|1
10957|18.3.1998 0:00:00|7200,00|Венесуэлла|Sasquatch Ale|Напитки|США|8
11002|6.4.1998 0:00:00|2294,99|США|Sasquatch Ale|Напитки|США|4
11035|20.4.1998 0:00:00|10800,00|Бельгия|Sasquatch Ale|Напитки|США|2
11039|21.4.1998 0:00:00|4320,00|Венесуэлла|Sasquatch Ale|Напитки|США|1
11046|23.4.1998 0:00:00|3077,99|Германия|Sasquatch Ale|Напитки|США|8
10255|12.7.1996 0:00:00|3800,00|Швейцария|Steeleye Stout|Напитки|США|9
10270|1.8.1996 0:00:00|4560,00|Финляндия|Steeleye Stout|Напитки|США|1
10298|5.9.1996 0:00:00|4560,00|Ирландия|Steeleye Stout|Напитки|США|6
10313|24.9.1996 0:00:00|1824,00|Германия|Steeleye Stout|Напитки|США|2
10337|24.10.1996 0:00:00|3040,00|Германия|Steeleye Stout|Напитки|США|4
10342|30.10.1996 0:00:00|4863,99|Германия|Steeleye Stout|Напитки|США|4
10358|20.11.1996 0:00:00|2887,99|Франция|Steeleye Stout|Напитки|США|5
10371|3.12.1996 0:00:00|729,59|Франция|Steeleye Stout|Напитки|США|1
10406|7.1.1997 0:00:00|683,99|Бразилия|Steeleye Stout|Напитки|США|7
10525|2.5.1997 0:00:00|5700,00|Франция|Steeleye Stout|Напитки|США|1
10527|5.5.1997 0:00:00|5129,99|Германия|Steeleye Stout|Напитки|США|7
10547|23.5.1997 0:00:00|11400,00|Великобритания|Steeleye Stout|Напитки|США|3
10563|10.6.1997 0:00:00|4750,00|Бразилия|Steeleye Stout|Напитки|США|2
10610|25.7.1997 0:00:00|2992,50|Франция|Steeleye Stout|Напитки|США|8
10612|28.7.1997 0:00:00|10450,00|США|Steeleye Stout|Напитки|США|1
10645|26.8.1997 0:00:00|2850,00|Бразилия|Steeleye Stout|Напитки|США|4
10669|15.9.1997 0:00:00|5700,00|Дания|Steeleye Stout|Напитки|США|2
10687|30.9.1997 0:00:00|855,00|Ирландия|Steeleye Stout|Напитки|США|9
10708|17.10.1997 0:00:00|950,00|США|Steeleye Stout|Напитки|США|6
10718|27.10.1997 0:00:00|7600,00|Германия|Steeleye Stout|Напитки|США|1
10739|12.11.1997 0:00:00|1140,00|Франция|Steeleye Stout|Напитки|США|3
10756|27.11.1997 0:00:00|3039,99|США|Steeleye Stout|Напитки|США|8
10784|18.12.1997 0:00:00|5700,00|Италия|Steeleye Stout|Напитки|США|4
10838|19.1.1998 0:00:00|7125,00|Венесуэлла|Steeleye Stout|Напитки|США|3
10893|18.2.1998 0:00:00|3800,00|Германия|Steeleye Stout|Напитки|США|9
10925|4.3.1998 0:00:00|4037,49|Бразилия|Steeleye Stout|Напитки|США|3
10936|9.3.1998 0:00:00|4559,99|США|Steeleye Stout|Напитки|США|3
10984|30.3.1998 0:00:00|7600,00|США|Steeleye Stout|Напитки|США|1
11009|8.4.1998 0:00:00|2565,00|Испания|Steeleye Stout|Напитки|США|2
11016|10.4.1998 0:00:00|3040,00|Великобритания|Steeleye Stout|Напитки|США|9
11032|17.4.1998 0:00:00|6650,00|США|Steeleye Stout|Напитки|США|2
10253|10.7.1996 0:00:00|6048,00|Бразилия|Cote de Blaye|Напитки|Франция|3
10257|16.7.1996 0:00:00|864,00|Венесуэлла|Cote de Blaye|Напитки|Франция|4
10297|4.9.1996 0:00:00|8640,00|Франция|Cote de Blaye|Напитки|Франция|5
10305|13.9.1996 0:00:00|3887,99|США|Cote de Blaye|Напитки|Франция|8
10323|7.10.1996 0:00:00|576,00|Германия|Cote de Blaye|Напитки|Франция|4
10347|6.11.1996 0:00:00|6119,99|Бразилия|Cote de Blaye|Напитки|Франция|4
10361|22.11.1996 0:00:00|6998,39|Германия|Cote de Blaye|Напитки|Франция|1
10377|9.12.1996 0:00:00|2447,99|Великобритания|Cote de Blaye|Напитки|Франция|1
10445|13.2.1997 0:00:00|864,00|Швеция|Cote de Blaye|Напитки|Франция|3
10455|24.2.1997 0:00:00|2880,00|Финляндия|Cote de Blaye|Напитки|Франция|8
10477|17.3.1997 0:00:00|2160,00|Португалия|Cote de Blaye|Напитки|Франция|5
10508|16.4.1997 0:00:00|1800,00|Германия|Cote de Blaye|Напитки|Франция|1
10577|23.6.1997 0:00:00|1800,00|США|Cote de Blaye|Напитки|Франция|9
10614|29.7.1997 0:00:00|900,00|Германия|Cote de Blaye|Напитки|Франция|8
10643|25.8.1997 0:00:00|2835,00|Россия|Cote de Blaye|Напитки|Франция|6
10647|27.8.1997 0:00:00|3600,00|Бразилия|Cote de Blaye|Напитки|Франция|4
10654|2.9.1997 0:00:00|3239,99|Швеция|Cote de Blaye|Напитки|Франция|5
10661|9.9.1997 0:00:00|431,99|Ирландия|Cote de Blaye|Напитки|Франция|7
10762|2.12.1997 0:00:00|2880,00|Швеция|Cote de Blaye|Напитки|Франция|3
10764|3.12.1997 0:00:00|21059,99|Австрия|Cote de Blaye|Напитки|Франция|6
10784|18.12.1997 0:00:00|305,99|Италия|Cote de Blaye|Напитки|Франция|4
10827|12.1.1998 0:00:00|3780,00|Франция|Cote de Blaye|Напитки|Франция|1
10830|13.1.1998 0:00:00|5040,00|Бразилия|Cote de Blaye|Напитки|Франция|4
10840|19.1.1998 0:00:00|1439,99|Венесуэлла|Cote de Blaye|Напитки|Франция|4
10865|2.2.1998 0:00:00|13679,99|Германия|Cote de Blaye|Напитки|Франция|2
10895|18.2.1998 0:00:00|8100,00|Австрия|Cote de Blaye|Напитки|Франция|3
10899|20.2.1998 0:00:00|1223,99|Венесуэлла|Cote de Blaye|Напитки|Франция|5
10977|26.3.1998 0:00:00|5400,00|Швеция|Cote de Blaye|Напитки|Франция|8
11069|4.5.1998 0:00:00|3600,00|Мексика|Cote de Blaye|Напитки|Франция|1
11077|6.5.1998 0:00:00|341,99|США|Cote de Blaye|Напитки|Франция|1
10248|4.7.1996 0:00:00|35,30|Финляндия|Chartreuse verte|Напитки|Франция|5
10267|29.7.1996 0:00:00|7350,00|Германия|Chartreuse verte|Напитки|Франция|4
10273|5.8.1996 0:00:00|8378,99|Германия|Chartreuse verte|Напитки|Франция|3
10278|12.8.1996 0:00:00|0,00|Швеция|Chartreuse verte|Напитки|Франция|8
10285|20.8.1996 0:00:00|4703,99|Германия|Chartreuse verte|Напитки|Франция|1
10301|9.9.1996 0:00:00|1470,00|Германия|Chartreuse verte|Напитки|Франция|8
10303|11.9.1996 0:00:00|5291,99|Испания|Chartreuse verte|Напитки|Франция|7
10347|6.11.1996 0:00:00|588,00|Бразилия|Chartreuse verte|Напитки|Франция|4
10406|7.1.1997 0:00:00|264,59|Бразилия|Chartreuse verte|Напитки|Франция|7
10431|30.1.1997 0:00:00|5512,50|Канада|Chartreuse verte|Напитки|Франция|4
10448|17.2.1997 0:00:00|2940,00|Аргентина|Chartreuse verte|Напитки|Франция|4
10465|5.3.1997 0:00:00|2940,00|Дания|Chartreuse verte|Напитки|Франция|1
10474|13.3.1997 0:00:00|3087,00|Мексика|Chartreuse verte|Напитки|Франция|5
10482|21.3.1997 0:00:00|1470,00|США|Chartreuse verte|Напитки|Франция|1
10484|24.3.1997 0:00:00|1470,00|Великобритания|Chartreuse verte|Напитки|Франция|3
10498|7.4.1997 0:00:00|920,00|Венесуэлла|Chartreuse verte|Напитки|Франция|8
